PERIODO,FECHA,HORA,NO2_CENTENARIO,PM10_CENTENARIO,PM10_CORDOBA,PM10_LA_BOCA,CO_PALERMO
2009,01/10/2009,14,20,S/D,S/D,S/D,S/D
2009,04/10/2009,13,24,9,6,6,11
2009,02/10/2009,1,68,35,30,19,34
2009,01/10/2009,17,46,38,31,12,24
2009,01/10/2009,18,48,39,33,11,25
2009,01/10/2009,19,5,39,35,14,30
2009,01/10/2009,20,54,36,32,15,30
2009,01/10/2009,21,58,31,34,16,33
2009,01/10/2009,22,6,36,33,16,29
2009,01/10/2009,23,63,37,34,16,30
2009,01/10/2009,24,64,35,32,16,31
2009,02/10/2009,1,68,35,30,19,34
2009,02/10/2009,2,69,35,32,21,33
2009,02/10/2009,3,68,34,24,23,32
2009,02/10/2009,4,64,34,18,25,30
2009,02/10/2009,5,64,34,20,26,30
2009,02/10/2009,6,64,32,26,27,30
2009,02/10/2009,7,65,30,37,33,35
2009,02/10/2009,8,7,35,42,45,39
2009,02/10/2009,9,69,38,37,64,46
2009,02/10/2009,10,68,33,39,78,45
2009,04/10/2009,13,24,9,6,6,11
2009,04/10/2009,14,23,9,7,7,11
2009,04/10/2009,15,21,10,11,8,13
2009,04/10/2009,16,21,15,15,9,17
2009,04/10/2009,17,23,21,22,1,20
2009,04/10/2009,18,25,27,24,11,23
2009,04/10/2009,19,29,32,28,11,19
2009,04/10/2009,20,35,37,27,13,28
2009,04/10/2009,21,41,37,28,16,26
2009,04/10/2009,22,45,32,24,18,22
2009,04/10/2009,23,49,28,22,18,22
2009,04/10/2009,24,51,29,21,18,21
2009,05/10/2009,1,51,22,21,17,16
2009,05/10/2009,2,5,20,19,16,17
2009,05/10/2009,3,46,19,17,15,14
2009,05/10/2009,4,4,19,11,13,11
2009,05/10/2009,5,34,14,12,1,11
2009,05/10/2009,6,3,14,19,8,14
2009,05/10/2009,7,29,25,35,8,28
2009,05/10/2009,8,34,35,37,1,32
2009,05/10/2009,9,44,28,37,14,28
2009,05/10/2009,10,51,22,38,18,22
2009,05/10/2009,11,59,20,37,2,16
2009,05/10/2009,12,63,19,36,21,19
2009,05/10/2009,13,69,23,38,29,S/D
2009,05/10/2009,14,73,22,36,35,S/D
2009,05/10/2009,15,74,20,39,34,S/D
2009,05/10/2009,16,7,21,43,34,S/D
2009,05/10/2009,17,63,22,46,35,S/D
2009,05/10/2009,18,6,32,48,43,S/D
2009,05/10/2009,19,6,63,45,36,S/D
2009,05/10/2009,20,64,77,45,32,S/D
2009,05/10/2009,21,69,48,45,34,S/D
2009,05/10/2009,22,76,47,42,35,S/D
2009,05/10/2009,23,76,39,40,27,S/D
2009,05/10/2009,24,75,31,34,25,S/D
2009,06/10/2009,1,73,28,19,17,S/D
2009,06/10/2009,2,66,24,17,13,S/D
2009,06/10/2009,3,58,12,20,7,S/D
2009,06/10/2009,4,49,12,41,8,S/D
2009,06/10/2009,5,36,8,60,9,S/D
2009,06/10/2009,6,23,13,62,10,S/D
2009,06/10/2009,7,19,21,38,18,S/D
2009,06/10/2009,8,19,26,38,25,S/D
2009,06/10/2009,9,24,30,41,29,S/D
2009,06/10/2009,10,3,37,40,31,S/D
2009,06/10/2009,11,35,31,42,25,S/D
2009,06/10/2009,12,39,27,37,13,S/D
2009,06/10/2009,13,41,24,40,12,S/D
2009,06/10/2009,14,44,22,34,10,S/D
2009,06/10/2009,15,46,23,31,9,S/D
2009,06/10/2009,16,45,23,34,10,S/D
2009,06/10/2009,17,4,23,36,12,S/D
